ref,contact_email,enrolled_on,plan_tier,referral_code,opt_in
SGN-2-000000,sisize68@brightmail.dev,18-02-2024,starter,CZ0UMJO7,no
SGN-2-000001,pubafo39@corvus.org,10-11-2024,growth,46B0VCXZ,yes
SGN-2-000002,bagiza89@corvus.org,09-10-2025,starter,,yes
SGN-2-000003,sutere97@delta-post.net,06-10-2024,scale,,yes
SGN-2-000004,vanito56@brightmail.dev,08-10-2024,scale,,yes
SGN-2-000005,meduka25@delta-post.net,28-06-2024,scale,,no
SGN-2-000006,nemuke94@delta-post.net,16-07-2025,starter,,no
SGN-2-000007,@brightmail.dev,16-09-2024,growth,C6K3YJYZ,yes
SGN-2-000008,socici61@brightmail.dev,21-07-2024,growth,,no
SGN-2-000009,tegudi45@brightmail.dev,23-07-2025,growth,F6LXOQ6K,yes
SGN-2-000010,tibavi27@brightmail.dev,22-06-2024,growth,,yes
SGN-2-000011,bazadi52@delta-post.net,03-11-2025,scale,,no
SGN-2-000012,metoka33@corvus.org,06-03-2024,growth,,yes
SGN-2-000013,netola92@corvus.org,15-12-2024,starter,,no
SGN-2-000014,dabiga54@brightmail.dev,02-06-2024,scale,IC1SE6EE,no
SGN-2-000015,soseca36@eastwind.co,02-01-2025,scale,QPAYAIWT,no
SGN-2-000016,lepuru33@corvus.org,24-04-2024,starter,,yes
SGN-2-000017,gumeno41@brightmail.dev,11-05-2025,scale,O3YISNH2,yes
SGN-2-000018,zacoli20@arcline.io,02-05-2025,growth,,yes
SGN-2-000019,pivuki61@brightmail.dev,13-01-2024,scale,,yes
SGN-2-000020,zus ote76@delta-post.net,21-12-2024,growth,4JZN92KS,no
SGN-2-000021,zakuci43@corvus.org,01-06-2025,scale,,no
SGN-2-000022,virizu21@delta-post.net,21-10-2024,starter,EJGHSJH9,no
SGN-2-000023,mefere34@corvus.org,24-05-2025,starter,VZGQ5ARQ,yes
SGN-2-000024,malame86@corvus.org,03-06-2025,growth,,no
SGN-2-000025,pibuci81@corvus.org,08-07-2024,starter,7UKD47EK,no
SGN-2-000026,kemupi67@corvus.org,19-04-2025,scale,LHHAE1BC,no
SGN-2-000027,simeba31@arcline.io,22-06-2025,starter,43B10ZCS,no
SGN-2-000028,vokele95@arcline.io,09-11-2025,starter,,no
SGN-2-000029,zibugu78@eastwind.co,09-11-2024,scale,,no
SGN-2-000030,fifugo91@eastwind.co,05-01-2024,growth,,yes
SGN-2-000031,larude74@brightmail.dev,,starter,SBTMWV77,yes
SGN-2-000032,@arcline.io,09-04-2025,starter,,yes
SGN-2-000033,nudegu62@eastwind.co,09-12-2025,scale,GIOZIXDN,yes
SGN-2-000034,rakobe49@brightmail.dev,05-03-2025,scale,,no
SGN-2-000035,rom evi61@arcline.io,07-09-2024,starter,4MFN01IA,yes
SGN-2-000036,lubinu71@arcline.io,18-10-2025,scale,0E9ZPCEL,no
SGN-2-000037,recano55@brightmail.dev,23-07-2025,growth,S59F9EKW,yes
SGN-2-000038,gisuto41@arcline.io,04-08-2025,scale,,yes
SGN-2-000039,gineka59@brightmail.dev,14-04-2025,growth,,yes
SGN-2-000040,bebima76@delta-post.net,07-11-2025,starter,DV0KUFP5,yes
SGN-2-000041,foruca31@arcline.io,15-08-2025,scale,U28H9EIO,no
SGN-2-000042,fimula75@corvus.org,04-03-2024,starter,7HRCWB9J,yes
SGN-2-000043,lopamu54@delta-post.net,09-08-2025,scale,,no
SGN-2-000044,nikizo63@corvus.org,20-04-2024,growth,K78NM56I,yes
SGN-2-000045,dezako44@arcline.io,22-04-2025,scale,L6LBUIZL,yes
SGN-2-000046,vacuku84@eastwind.co,05-03-2025,scale,MN0Z2GLS,yes
SGN-2-000047,vadupa39@@delta-post.net,21-06-2025,starter,,no
SGN-2-000048,sezesi71@brightmail.dev,28-02-2025,growth,VJHNK428,yes
SGN-2-000049,cinodo18@eastwind.co,18-02-2024,growth,QR2UDBDP,yes
